,DOC_NO,SENT_NO,TEXT,0,1,2,3,4,5,6,7,8
0,ru_pud-ud-test_n01001,n01001011,"«Если передача цифровых технологий сегодня в США происходит впервые, то о мирной передаче власти такого не скажешь», – написала Кори Шульман, специальный помощник президента Обамы в своем блоге в понедельник. Для тех, кто следит за передачей всех материалов, появившихся в социальных сетях о Конгрессе, это будет происходить несколько по-другому.","«Если передача цифровых технологий сегодня в США происходит впервые, то о мирной передаче власти такого не скажешь», – написала Кори Шульман, специальный помощник президента Обамы в своем блоге в понедельник"," Для тех, кто следит за передачей всех материалов, появившихся в социальных сетях о Конгрессе, это будет происходить несколько по-другому",,,,,,,
1,ru_pud-ud-test_n01002,conj,"Но в отступлении от риторики прошлого о сокращении иммиграции кандидат Республиканской партии заявил, что в качестве президента он позволил бы въезд «огромного количества» легальных мигрантов на основе «системы заслуг». «Мне вовсе не хочется оказывать на вас какое-либо давление, но судьба республики зависит от вас», – сказал он толпе, собравшейся на спортивной площадке в Университете Северной Каролины. То, что она говорит и что она делает, на самом деле невероятно. Новые расходы финансируются благодаря крупным суммам на банковском счету Клинтон.","Но в отступлении от риторики прошлого о сокращении иммиграции кандидат Республиканской партии заявил, что в качестве президента он позволил бы въезд «огромного количества» легальных мигрантов на основе «системы заслуг»"," «Мне вовсе не хочется оказывать на вас какое-либо давление, но судьба республики зависит от вас», – сказал он толпе, собравшейся на спортивной площадке в Университете Северной Каролины"," То, что она говорит и что она делает, на самом деле невероятно", Новые расходы финансируются благодаря крупным суммам на банковском счету Клинтон,,,,,
2,ru_pud-ud-test_n01003,n01003007,"Максимально допустимая сумма на одного человека — 5000 долларов США. В начале октября переходная команда использовала то же место для встреч с технологическими лоббистами, с приглашением представителей из Убер, Американской Ассоциации Кинокомпаний, Ассоциации производителей бытовой техники и других групп.",Максимально допустимая сумма на одного человека — 5000 долларов США," В начале октября переходная команда использовала то же место для встреч с технологическими лоббистами, с приглашением представителей из Убер, Американской Ассоциации Кинокомпаний, Ассоциации производителей бытовой техники и других групп",,,,,,,
3,ru_pud-ud-test_n01003,n01003013,"Возможно, дресс-код был слишком пуританским.","Возможно, дресс-код был слишком пуританским",,,,,,,,
4,ru_pud-ud-test_n01004,n01004009,"Вместо того чтобы изучать научный метод абстрактно, студенты постигают его суть, применяя его на практике. Их результаты по 4-м классам совпадают со средним по стране уровнем, а по 8-м классам результаты лучше, чем в среднем по стране.","Вместо того чтобы изучать научный метод абстрактно, студенты постигают его суть, применяя его на практике"," Их результаты по 4-м классам совпадают со средним по стране уровнем, а по 8-м классам результаты лучше, чем в среднем по стране",,,,,,,
5,ru_pud-ud-test_n01005,n01005023,"Для сравнения, строительство подземной станции метро НоМа (NoMa), которая открылась в 2004 году, обошлось в 103,7 миллиона долларов США. «Здесь высокая конкуренция, и мы думаем, что транзит может помочь», - сказал Джо Штернлиб, президент инновационного делового района Georgetown BID. По данным технико-экономического обоснования, пассажиры смогут переправиться на другой берег реки Потомак в гондоле приблизительно за 4 минуты.","Для сравнения, строительство подземной станции метро НоМа (NoMa), которая открылась в 2004 году, обошлось в 103,7 миллиона долларов США"," «Здесь высокая конкуренция, и мы думаем, что транзит может помочь», - сказал Джо Штернлиб, президент инновационного делового района Georgetown BID"," По данным технико-экономического обоснования, пассажиры смогут переправиться на другой берег реки Потомак в гондоле приблизительно за 4 минуты",,,,,,
6,ru_pud-ud-test_n01006,n01006011,"Свидетель рассказал в полиции, что потерпевший напал на подозреваемого в апреле.","Свидетель рассказал в полиции, что потерпевший напал на подозреваемого в апреле",,,,,,,,
7,ru_pud-ud-test_n01007,n01007012,Нужно провести параллель между играми и нашей повседневной жизнью.,Нужно провести параллель между играми и нашей повседневной жизнью,,,,,,,,
8,ru_pud-ud-test_n01008,n01008017,"Многие годы эта доля неуклонно растёт; по данным Бюро переписи населения, она оценивалась всего в 11% от общего числа голосов до выборов 1996 года, и в этом году она может снова подскочить.","Многие годы эта доля неуклонно растёт; по данным Бюро переписи населения, она оценивалась всего в 11% от общего числа голосов до выборов 1996 года, и в этом году она может снова подскочить",,,,,,,,
9,ru_pud-ud-test_n01009,n01009027,"Сегодня Канзир может быть одинокой свиньей, но он не всегда в одиночестве. «Мы просили другие страны оказать нам помощь в заполнении зоопарка разными видами животных, в том числе свиньями», — сказал Сакиб.","Сегодня Канзир может быть одинокой свиньей, но он не всегда в одиночестве"," «Мы просили другие страны оказать нам помощь в заполнении зоопарка разными видами животных, в том числе свиньями», — сказал Сакиб",,,,,,,
